1901,102.0
1902,104.04
1903,106.1208
1904,108.243216
1905,110.40808032000001
1906,112.61624192640001
1907,114.868566764928
1908,117.16593810022657
1909,119.5092568622311
1910,121.89944199947573
1911,124.33743083946524
1912,126.82417945625456
1913,129.36066304537965
1914,131.94787630628724
1915,134.586833832413
1916,137.27857050906127
1917,140.0241419192425
1918,142.82462475762736
1919,145.6811172527799
1920,148.5947395978355
1921,151.56663438979223
1922,154.59796707758807
1923,157.68992641913982
1924,160.84372494752262
1925,164.06059944647308
1926,167.34181143540255
1927,170.6886476641106
1928,174.1024206173928
1929,177.58446902974066
1930,181.13615841033547
1931,184.75888157854217
1932,188.45405921011303
1933,192.2231403943153
1934,196.0676032022016
1935,199.98895526624565
1936,203.98873437157056
1937,208.06850905900197
1938,212.22987924018202
1939,216.47447682498566
1940,220.80396636148538
1941,225.2200456887151
1942,229.7244466024894
1943,234.31893553453918
1944,239.00531424522995
1945,243.78542053013456
1946,248.66112894073726
1947,253.634351519552
1948,258.70703854994304
1949,263.8811793209419
1950,269.1588029073607
1951,274.54197896550795
1952,280.0328185448181
1953,285.6334749157145
1954,291.3461444140288
1955,297.1730673023094
1956,303.1165286483556
1957,309.17885922132274
1958,315.3624364057492
1959,321.66968513386416
1960,328.10307883654144
1961,334.6651404132723
1962,341.35844322153775
1963,348.1856120859685
1964,355.14932432768785
1965,362.25231081424164
1966,369.4973570305265
1967,376.88730417113703
1968,384.4250502545598
1969,392.113551259651
1970,399.95582228484403
1971,407.9549387305409
1972,416.1140375051517
1973,424.4363182552548
1974,432.92504462035987
1975,441.5835455127671
1976,450.41521642302246
1977,459.4235207514829
1978,468.61199116651255
1979,477.9842309898428
1980,487.54391560963967
1981,497.2947939218325
1982,507.24068980026914
1983,517.3855035962745
1984,527.7332136681999
1985,538.2878779415639
1986,549.0536355003952
1987,560.0347082104031
1988,571.2354023746111
1989,582.6601104221033
1990,594.3133126305454
1991,606.1995788831563
1992,618.3235704608194
1993,630.6900418700358
1994,643.3038427074365
1995,656.1699195615853
1996,669.293317952817
1997,682.6791843118733
1998,696.3327679981107
1999,710.2594233580729
2000,724.4646118252344
2001,738.9539040617392
2002,753.732982142974
2003,768.8076417858335
2004,784.1837946215502
2005,799.8674705139812
2006,815.8648199242608
2007,832.1821163227461
2008,848.825758649201
2009,865.802273822185
2010,883.1183192986288
